No.,ハングル,日本語意味,alphabet(読み方)
1,가계부,家計簿,gagyebu
2,가구점,家具店,gagujeom
3,가까이,近く,gakkai
4,가꾸다,栽培する,gakkuda
5,가난,貧乏,ganan
6,가늘다,細い,ganeulda
7,가능,可能,ganeung
8,가능성,可能性,ganeungseong
9,가능하다,可能だ,ganeunghada
10,가득,いっぱい,gadeuk
11,가라앉다,沈む,garaanda
12,가렵다,かゆい,garyeopda
13,가루비누,粉石鹸,garubinu
14,가리다,選ぶ,garida
15,가리키다,示す,garikida
16,가만히,じっと、おとなしく,gamanhi
17,가뭄,干ばつ、日照り,gamum
18,가사,家事,gasa
19,가상,仮想,gasang
20,가스,ガス,gaseu
21,가습기,加湿器,gaseupgi
22,가입,加入,gaip
23,가전제품,家電製品,gajeonjepum
24,가정,家庭,gajeong
25,가족적,家族的,gajokjeok
26,가축,家畜,gachuk
27,가치,価値,gachi
28,각각,別々に、それぞれ,gakgak
29,각자,各自,gakja
30,각종,各種,gakjong
31,간격,間隔,gangyeok
32,간절히,切に,ganjeolhi
33,간접적,間接的,ganjeopjeok
34,간판,看板,ganpan
35,간호,看護,ganho
36,갈다,替える,galda
37,갈등,葛藤,galdeung
38,갈수록,ますます,galsurok
39,갈아입다,着替える,garaipda
40,감각,感覚,gamgak
41,감기다,巻かれる,gamgida
42,감독,監督,gamdok
43,감동적,感動的,gamdongjeok
44,감상,鑑賞,gamsang
45,감소,減少,gamso
46,감정,感情,gamjeong
47,감탄,感嘆、感歎,gamtan
48,강물,川水,gangmul
49,강변,川沿い、川辺,gangbyeon
50,강사,講師,gangsa
51,강수량,降水量,gangsuryang
52,강연,講演,gangyeon
53,강우량,降雨量,ganguryang
54,강의,講義,gangui
55,강의실,講義室,ganguisil
56,강조,強調,gangjo
57,강하다,強い,ganghada
58,갖추다,整える、準備する,gatchuda
59,갚다,返す、報いる,gapda
60,개강,開講,gaegang
61,개구리,カエル,gaeguri
62,개구쟁이,いたずらっ子、やんちゃ,gaegujaengi
63,개다,晴れる,gaeda
64,개막식,開幕式、開会式,gaemaksik
65,개발,開発,gaebal
66,개방,開放,gaebang
67,개방적,開放的,gaebangjeok
68,개선,改善,gaeseon
69,개성,個性,gaeseong
70,개성적,個性的,gaeseongjeok
71,개인적,個人的,gaeinjeok
72,개최,開催,gaechoe
73,객관적,客観的,gaekgwanjeok
74,객실,客室,gaeksil
75,갸름하다,細長い,gyareumhada
76,걔,その子,gyae
77,거래,取引,georae
78,거미,蜘蛛,geomi
79,거북이,カメ,geobugi
80,거스름돈,お釣り,geoseureumdon
81,거절,拒絶,geojeol
82,거짓,嘘、偽り,geojit
83,거치다,こすれる,geochida
84,거품,泡,geopum
85,걱정거리,心配事,geokjeonggeori
86,건강식,健康食,geongangsik
87,건강식품,健康食品,geongangsikpum
88,건너,向こう,geonneo
89,건네다,手渡す、（声を）かける,geonneda
90,건더기,具、カップ麺の加薬,geondeogi
91,건망증,健忘症、物忘れ,geonmangjeung
92,건설,建設,geonseol
93,건전지,乾電池,geonjeonji
94,건조,乾燥,geonjo
95,건축,建築,geonchuk
96,건축가,建築家,geonchukga
97,걸레,雑巾,geolre
98,걸레질,雑巾がけ,geolrejil
99,걸음,歩み,georeum
100,검다,黒い,geomda
101,검사,検査,geomsa
102,검색,検索,geomsaek
103,검색어,検索語、検索単語,geomsaegeo
104,겁,恐れ、怖さ,geop
105,겉,表面、外面,geot
106,겉모습,見かけ,geotmoseup
107,게다가,その上、それに,gedaga
108,게시판,掲示板,gesipan
109,게으르다,怠ける、怠惰だ,geeureuda
110,게임기,ゲーム機,geimgi
